"","DisplayName","Location","Difference","Number_of_Tags"
"1","Rewan Demontay","USA",9253,69
"2","PhishMaster","",1097,46
"3","Brian Towers","",1440,45
"4","Daniel","Pencilveinea",2943,43
"5","ETD","Pittsburgh, PA",2100,41
"6","Rauan Sagit","Sweden",1046,39
"7","Laska","Singapore",1198,33
"8","AKP2002","India",1014,31
"9","AlwaysLearningNewStuff","Belgrade, Serbia",1807,28
"10","itub","",1198,19
"11","Andrew","Massachusetts",1548,18
"12","Akavall","",2273,13
"13","Herb","Council Bluffs, IA",1561,12
"14","GloriaVictis","Denmark",1226,9
"15","NoseKnowsAll","California, United States",1328,9
